task_distance,bwt,forget,full_accs,acc,complex_1epoch,complex_25epoch,complex_50epoch,leep,leep_buffer,logme,logme_buffer,logme_model,logme_simple_model_1epoch,logme_simple_model_50epoch,leep_1stacc,bwt_leep,sequence_label,sequence_sample,sequence_unique
"[21167.50850039767, 10711.048149204813, 10989.465281790588, 12698.79709467839, 18538.699009626827, 13523.416739616543, 17034.449894140533, 15787.213835623814, 12067.422166205128, 17418.828098908183]",-5.044444444444451,23.243134920634958,"[[86.9, 4.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [86.7, 85.39999999999999, 11.799999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [85.2, 85.8, 91.9, 7.000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [85.39999999999999, 86.3, 91.0, 89.2, 4.3, 0.0, 0.0, 0.0, 0.0, 0.0], [85.3, 85.9, 88.8, 87.7, 91.4, 9.6, 0.0, 0.0, 0.0, 0.0], [84.3, 84.89999999999999, 89.0, 87.1, 90.60000000000001, 89.9, 7.3, 0.0, 0.0, 0.0], [82.5, 84.6, 89.0, 85.9, 87.2, 85.5, 91.2, 9.0, 0.0, 0.0], [82.8, 83.3, 87.7, 83.8, 86.8, 84.1, 87.2, 89.8, 9.3, 0.0], [81.10000000000001, 84.39999999999999, 87.9, 84.3, 85.6, 84.2, 86.2, 85.2, 88.0, 14.7], [81.0, 82.89999999999999, 89.0, 84.0, 85.7, 82.69999999999999, 85.39999999999999, 84.89999999999999, 82.69999999999999, 89.1]]",0.8473999999999999,"[54.199999999999996, 58.1, 57.9, 66.5, 54.0, 55.7, 54.4, 60.6, 63.5, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15.400000000000006, 21.89999999999999, 17.10000000000001, 19.69999999999999, 22.099999999999994, 21.5, 21.299999999999997, 30.900000000000006, 22.599999999999994, 25.900000000000006]","[-1.9589960312234296, -1.6866727282026928, -1.7121693667555409, -1.6417042259689631, -1.8344557557273198, -1.689838096435138, -1.6290571692105809, -1.847170209708566, -1.8082868947965893]","[-1.6037601837763502, -2.041982150712229, -2.302638146034787, -2.441680419366666, -2.682348103664631, -2.6848736651731535, -2.7645127990148866, -3.0212331073427854, -2.9967167116582476]","[-0.018080384720533, 0.07367785634336725, 0.08617282698500424, 0.1565255007564132, 0.1028975142654814, 0.11982250981882339, 0.15194490344665704, 0.08535585035713181, 0.13184143201881127]","[0.4510411132501436, 0.6891293917674431, 0.8235909339518285, 0.9469434193548012, 1.0267805112204995, 1.1061148922747157, 1.1758877763781719, 1.224585477073574, 1.282036591736669]","[[0.5662331332736142, -0.020885120596527487, -0.014655324722124958, -0.030772518042190805, 0.04570559825885909, -0.00651807630647834, 0.015250148106757944, 0.04750363542287347, -0.01955154691923257, -0.013805320176555416], [0.4595619107026444, 0.5090596597618255, 0.07547795619457409, 0.03713095358221994, 0.11614543662582133, 0.03512507093813229, 0.057656966537209385, 0.0685770285626761, 0.025924198981205578, 0.06097459061757625], [0.4151969934265711, 0.4255300844187094, 0.561281483379271, 0.08196042729140103, 0.1285649339693307, 0.07163551986598113, 0.08991877398217753, 0.09683800414538093, 0.051707870094526064, 0.08295814391343165], [0.4059774978467763, 0.3922465105742334, 0.4584795928338335, 0.5155762792037232, 0.15022287383505795, 0.10057772522064694, 0.11257553034942706, 0.10456206404089474, 0.056459907913736895, 0.10973492160887888], [0.3917485764362804, 0.36462181078930217, 0.4227279839435168, 0.40164317743918876, 0.5674243968354316, 0.10792109425290627, 0.1062605089359208, 0.12210482109676443, 0.0727719104693868, 0.11499119918647312], [0.3793319461498819, 0.3473697022114442, 0.41774465964641366, 0.36951948223504466, 0.4498765392595181, 0.5317035807879507, 0.11463583107915114, 0.13932046724106265, 0.07788725357059426, 0.11729804206005648], [0.3671360592490128, 0.3254338689924408, 0.3952528351191301, 0.34492143101858336, 0.4095300205070524, 0.38917874837548183, 0.536046449912622, 0.14971149065803951, 0.08099139092993597, 0.11126523243207427], [0.3631309223078877, 0.3028626478891982, 0.3678942394075534, 0.3172332086942672, 0.37068944778589324, 0.34591818089688525, 0.4163822644047609, 0.5592784991056138, 0.09059249689877442, 0.11642672458438703], [0.34917377942803257, 0.30619317144738256, 0.3689047126341035, 0.3076120303287465, 0.36247103149214455, 0.32590711251650445, 0.3746261578353828, 0.4312013034203549, 0.49515075637143485, 0.13060545460109188], [0.3444700444997231, 0.30405555500328285, 0.36639550976426183, 0.3106404022967406, 0.34314190414096296, 0.30570187236510094, 0.3485612292890901, 0.38794344799074176, 0.3684706452149918, 0.514413825980083]]","[[-0.010090640216542943, -0.128363273931229, -0.13385338918761072, -0.1285424046758996, -0.07507945971543854, -0.1101586366186611, -0.09414103125259708, -0.06394228972156452, -0.1288963552854811, -0.1149682532384251], [-0.06194178454399757, -0.064454462715862, -0.11642441046833851, -0.11086329065884475, -0.07578824818871814, -0.10868824863464352, -0.08150412007020538, -0.060181404533645545, -0.12927826402127135, -0.10769398333322597], [-0.06520873504380538, -0.12818779473478373, -0.046469378511331504, -0.09833363005700671, -0.0759145842640344, -0.09180280251165832, -0.06534799380598419, -0.046912559592848194, -0.118191577871758, -0.10455924405159792], [-0.0722294215430918, -0.13016860799116037, -0.10932361482375097, -0.06078621330332841, -0.07501358280792476, -0.09484310025370238, -0.0678085490370348, -0.056229344706826265, -0.12860034774594903, -0.11055019555110523], [-0.06265998826812777, -0.1252567635368687, -0.12493408409120528, -0.12071932954080589, -0.007982337952816304, -0.09841463795592684, -0.08666673637960534, -0.042783623173224164, -0.10681604926803075, -0.11599028166388199], [-0.06015005950950052, -0.13287356262508793, -0.11732950317016033, -0.10619308553644487, -0.07249263364885226, -0.04768080431788637, -0.07365361629327057, -0.05234612343269244, -0.1249133222110402, -0.10850107688610562], [-0.05352878169753088, -0.13075224453179102, -0.11485185429759684, -0.107275303927778, -0.08188727521754129, -0.0927468358069764, -0.022696197407981365, -0.05382566496675634, -0.12553826131027704, -0.11018262361452731], [-0.06011472467709087, -0.12202329698001972, -0.12598456736293007, -0.11428411582815456, -0.07665351110208092, -0.09728086056297391, -0.07785586502703154, 0.0061336212243600224, -0.12502612211992176, -0.10884124502814108], [-0.0616047610959608, -0.13024253133773048, -0.12421407020893853, -0.11206132026196639, -0.06675441674420621, -0.09448254028874406, -0.08090711382098845, -0.04974983297530135, -0.08438211190392797, -0.11637276080577694], [-0.06649467133702884, -0.12090449387423659, -0.12043030796259506, -0.11611314178778556, -0.08362132649577345, -0.1005632590003515, -0.0866353878454871, -0.058838065053092706, -0.13769312253619978, -0.07270381952269035]]","[[0.5259475606878826, -0.03380575202361137, -0.03154906335502617, -0.0464360129985625, 0.027362456254725637, -0.026755965656684255, -0.012433296578053712, 0.01976156608023564, -0.03394415929483649, -0.02626687286431994], [0.021731634306597008, 0.490009170645006, 0.024748258681640566, -0.007499513807150152, 0.03605726522541679, -0.036337786950209824, -0.011004673416804552, 0.0008879288265352794, -0.03599236156627965, -0.006915941048924469], [0.017303972858611034, -0.0025140749583716358, 0.49125902645631114, -0.00645078101212065, 0.010400767241742595, -0.00835581101300081, 0.009839932200854419, 0.01884268714164587, -0.04186290188140103, -0.026672947746111553], [0.020130720895808522, -0.012880906129769401, 0.02435537014485496, 0.4889021193827251, 0.040200721877258365, -0.007737493412494428, 0.022315487663471, 0.020346958115232634, -0.04882385246117118, -0.0019231285483089055], [0.04196862246290609, -0.009185814312331893, -0.010154126632477315, -0.011416952759544071, 0.4718981050892608, -0.013814870459987943, -0.006795160913942175, 0.02786361724795227, -0.02386712256544528, -0.024293792813349126], [0.039681679205810706, -0.028376961993467963, 0.010785883640623852, -0.007823165261890721, 0.02495137884563017, 0.45119223233347255, 0.004437597554883684, 0.04226385624861961, -0.02778799974823253, -0.02866171691138525], [0.011929702919385568, -0.035750832141556596, -0.021274302264616858, -0.03524379758145633, -0.0234837085520141, -0.026143137650248317, 0.45705456262567123, 0.037449028346157695, -0.06354043162101197, -0.03559065290170477], [-0.0003572129986014333, -0.06268657814634959, -0.050014602302667036, -0.051289270885710406, -0.002940085559399287, -0.034980251670201315, 0.005430482387774259, 0.3956000356600684, -0.06015335701380335, -0.048314634528335634], [0.04289741368524547, -0.003588752610353406, 0.007520517210724884, -0.030500728821419132, 0.05374960761782568, -0.005362262164361928, -0.0008486310833768229, 0.04064221196780486, 0.4152863767090252, -0.0352268510191444], [0.03157913671055311, 0.0036308284343302853, -0.013506510266896846, -0.004326584558319127, 0.026902108716811212, -0.03419132386743322, -0.007377955218688515, 0.023958528187305934, -0.04567213720862473, 0.42632572627490684]]",-1.6254833864476468,0,"[[82, 28, 4, 10, 39, 73, 97, 47, 61, 53], [48, 89, 98, 18, 94, 31, 66, 27, 5, 2], [8, 17, 16, 79, 72, 81, 58, 63, 68, 21], [76, 92, 13, 12, 44, 9, 34, 15, 1, 46], [96, 23, 20, 99, 43, 84, 52, 71, 35, 93], [55, 33, 6, 38, 86, 88, 37, 56, 51, 62], [75, 83, 69, 90, 24, 3, 74, 91, 77, 70], [0, 60, 54, 45, 14, 30, 7, 78, 42, 80], [95, 29, 25, 59, 65, 87, 26, 49, 32, 50], [36, 67, 64, 11, 85, 19, 40, 57, 22, 41]]","[[500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]"
"[15654.11496079876, 20411.99658009049, 16279.00697216345, 17748.189190516016, 14120.951623717789, 11370.293414343847, 12505.701751342509, 15134.517071380978, 13074.795239395928, 12728.009683043172]",-5.688888888888889,29.673214285714312,"[[90.2, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [90.60000000000001, 90.4, 5.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [90.4, 87.5, 91.4, 7.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [90.0, 87.1, 87.7, 79.3, 13.3, 0.0, 0.0, 0.0, 0.0, 0.0], [89.2, 86.4, 88.7, 76.1, 94.39999999999999, 7.6, 0.0, 0.0, 0.0, 0.0], [88.7, 84.89999999999999, 86.5, 75.0, 91.5, 86.9, 9.8, 0.0, 0.0, 0.0], [87.6, 85.7, 87.4, 73.0, 91.0, 83.5, 90.0, 9.9, 0.0, 0.0], [87.6, 86.4, 87.2, 74.4, 89.2, 81.8, 87.1, 88.7, 14.499999999999998, 0.0], [86.8, 85.7, 87.8, 73.3, 88.5, 79.7, 84.8, 86.6, 88.6, 7.1], [86.0, 83.8, 85.3, 70.1, 88.9, 80.0, 84.2, 85.2, 85.2, 87.0]]",0.8357000000000001,"[53.1, 50.6, 53.9, 66.3, 46.8, 70.3, 60.8, 63.3, 61.7, 68.1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15.400000000000006, 17.400000000000006, 19.89999999999999, 29.60000000000001, 14.900000000000006, 27.900000000000006, 24.599999999999994, 34.7, 24.099999999999994, 21.39999999999999]","[-1.910439070720777, -1.5871461076789666, -1.8204548827648432, -1.7363440960228742, -2.00185849133954, -1.8027862531891372, -1.8013268773548465, -1.6880780178176715, -1.667007099270988]","[-1.581403108709454, -1.9937800599071442, -2.3326630153614256, -2.5120535072295955, -2.7690735074483217, -2.8307266075236215, -2.8835404375666043, -2.932107670370742, -2.9068242498425554]","[0.043060905277176556, 0.1488448990395516, 0.01401515234734307, 0.19158909576675828, 0.005159696408124419, 0.05483096594452489, 0.13994375741170356, 0.13594773302283752, 0.11388581923592152]","[0.4830855225435851, 0.6885603587229272, 0.8218569369313877, 0.9408168569782596, 1.0227060416625668, 1.0963710779055436, 1.1752694579710112, 1.2289240479025205, 1.2837825797308793]","[[0.5909361733865808, 0.04225100325904759, 0.0917937535303336, -0.03490019204742288, 0.09114527640484216, -0.07709265850975114, -0.06820439006613796, 0.047627616472965026, 0.007248374736689345, -0.02832730077410403], [0.5043020579727356, 0.5471486652794297, 0.14604445768361396, 0.004695914280443111, 0.15191009815296225, -0.04308344111918071, -0.005981978563783028, 0.08911915306687615, 0.07030092525784962, 0.04229659964429751], [0.4582854862042215, 0.43868550043894894, 0.5784371699003976, 0.013614123548295439, 0.17305674120799414, -0.024172438166401133, 0.006589277512380531, 0.10401173376924906, 0.08246965069939202, 0.05506586486640558], [0.4271771740210629, 0.38901295680245573, 0.46078837685060253, 0.4896841946361755, 0.19435019613781873, -1.638533515670032e-05, 0.015877706429031413, 0.11910552520146282, 0.09834830218241465, 0.07344555660729969], [0.4134088369549282, 0.3965745480629948, 0.44830446264611534, 0.3468034788399125, 0.582739501887152, 0.006566997815003868, 0.03127938649234922, 0.12863842875703807, 0.11843469466753945, 0.07971762705558584], [0.400252110945312, 0.3652792392227423, 0.4128903963600085, 0.2904718993681748, 0.4609503882963787, 0.49066516390119724, 0.05195310456804536, 0.1395838605132637, 0.13323357665397512, 0.10113349747353192], [0.375258718810887, 0.3592413514347837, 0.4008093257495635, 0.26517989728564817, 0.4334315240203785, 0.3574709627589697, 0.5057028919923371, 0.1375008092572665, 0.13235225502944592, 0.10543940422197211], [0.37646991776189276, 0.3512875923845381, 0.38486471814312273, 0.24344205918184728, 0.4268261195158579, 0.29337310419623147, 0.3651694762232217, 0.5599864508106298, 0.13310120855974578, 0.10398822990421605], [0.3843414708178162, 0.34975007362162835, 0.3771426251135392, 0.2328015217783581, 0.40812018598141264, 0.2752934997743318, 0.3228993408824321, 0.4234477155259174, 0.5288598259620099, 0.1158785639249041], [0.37044119613246057, 0.3379204817727468, 0.35387957399851094, 0.21550692198802532, 0.3929954273288974, 0.2649108365428588, 0.2920265960771956, 0.3692532919805514, 0.3851527791559194, 0.522718939352717]]","[[0.03541323842870975, -0.039403283576069904, -0.05737065916604746, -0.12119754766420046, -0.039302635096938196, -0.15132893602809988, -0.15393978285273674, -0.06480380581890777, -0.1135352718954761, -0.1193069655868219], [-0.057043142178282394, 0.027153935091675713, -0.0536121054754524, -0.10967021265286367, -0.02344207745877396, -0.14682962616782738, -0.14052224114809247, -0.07068545774727172, -0.10569972389604745, -0.10525664888924484], [-0.0738984825363795, -0.05967739248588751, -0.019618432808251148, -0.12958502334895813, -0.051525931172922625, -0.15590467918481665, -0.1567221927161631, -0.08381747340010579, -0.12137917686745281, -0.1309711146995311], [-0.08190400104236288, -0.04643360166414479, -0.07560672272632885, -0.08205937183584879, -0.05427061378764508, -0.15585492282876212, -0.15578113758534023, -0.08224020041120085, -0.11493475629409311, -0.12149628426974599], [-0.0696322161460911, -0.0312973877697512, -0.04787678854354153, -0.11486636430457649, 0.07126704577251114, -0.14316065794605065, -0.15113014350191784, -0.072946125918344, -0.11592012906392664, -0.11746751760330135], [-0.08375706799333331, -0.05413591520232277, -0.06729332506992199, -0.12281434868432901, -0.05075998318237981, -0.1260546722348948, -0.15290697223944544, -0.08959100233549262, -0.12708469823605956, -0.12019705126971347], [-0.07619392743897545, -0.057763076012377845, -0.06851845402480836, -0.12575270869095062, -0.06596534981518218, -0.15367034400157728, -0.11267746428679101, -0.08437562727069436, -0.11532517390133519, -0.12610217144179067], [-0.07053493797314205, -0.04556554296328912, -0.05146801878579786, -0.11899901972976193, -0.04768268206342714, -0.15362753999422057, -0.15115645020719032, -0.019057344945719406, -0.10054014690222708, -0.11604876948546698], [-0.08311953702170143, -0.04572309372670467, -0.0695062885952035, -0.12449518313663092, -0.05726562674636716, -0.15190742905328797, -0.1479383533155532, -0.06775274478039592, -0.084623308653947, -0.11711572198413425], [-0.08207959004338218, -0.04543508311430068, -0.06714713778354259, -0.12181674407241709, -0.060530694656160046, -0.15120978736353283, -0.16066046756393199, -0.08194471570277055, -0.1139684006122271, -0.07615271848473651]]","[[0.5277532671485189, 0.02190213356350736, 0.061280269354193714, -0.057388724091455276, 0.0680645908821625, -0.09536343648215385, -0.08509085814445289, 0.020303924087609466, -0.012327103105591012, -0.04111195449363185], [0.03213308102981054, 0.5037514964936001, 0.03198440160708025, -0.06506742660663681, 0.07850791001000736, -0.0819466377677632, -0.05703199133324542, 0.002793765542034346, -0.02067238239475025, -0.013661350447852902], [0.08191164481122588, 0.031044910775201183, 0.48142429331479547, -0.04847772733092186, 0.06574927654726466, -0.08903600032155798, -0.08036698268614532, 0.030035799374174398, -0.024419284480838667, -0.03288625784141104], [0.049594067077016295, 0.02955204422468064, 0.033633356345102026, 0.4054876667912592, 0.06879405717803463, -0.08150041282223483, -0.0837376235334113, 0.01697441270912103, -0.020766218482981266, -0.04872123908627288], [0.04277147338718019, 0.04917678498245443, 0.027891202204061938, -0.06303230138563408, 0.5549310361476325, -0.09318973883236557, -0.07963894767332602, -0.003998818181286475, -0.026028013872099527, -0.036844638826230146], [0.03838692709269546, 0.03540535716904342, 0.043737541954215045, -0.052799320772456707, 0.0558354772362553, 0.4152068233870664, -0.053956591019706734, -0.00031362080566613436, -0.026354706819200702, -0.008054476058651052], [0.05446116336228871, 0.06347916275589885, 0.03147492498809575, -0.05259856383088356, 0.08691950417093629, -0.0632835312289219, 0.42692551493766057, 0.013954195265322577, -0.009088941725526592, -0.027424135801692083], [0.039116913224304085, 0.0156929473811069, 0.033111943843278584, -0.07154814542045214, 0.06827284569271658, -0.09975303249271159, -0.09245768517558633, 0.3233070471512293, -0.032176902778471, -0.04706284545698544], [0.08233909992932009, 0.05609467962550493, 0.05133835299867252, -0.039047344177962746, 0.09130713531311721, -0.07868133211887604, -0.05697934458400731, 0.051724524201861896, 0.4436369774675831, -0.01817826374883249], [0.04621075277488795, 0.043459922784303995, 0.0393034779775646, -0.05892322232775756, 0.05803338270471653, -0.05225767402288506, -0.07415677289803604, 0.012182724209495536, -0.006453491388649873, 0.47454286344334584]]",-1.6814934329066276,0,"[[68, 9, 41, 85, 94, 23, 33, 31, 96, 4], [91, 13, 73, 98, 79, 17, 62, 38, 37, 24], [86, 47, 53, 3, 66, 81, 90, 71, 49, 87], [50, 6, 30, 40, 65, 74, 80, 20, 56, 55], [60, 95, 75, 16, 76, 93, 82, 35, 48, 18], [1, 39, 25, 77, 15, 36, 45, 88, 78, 64], [89, 5, 51, 44, 26, 7, 34, 97, 21, 11], [12, 28, 52, 83, 0, 27, 69, 57, 2, 32], [70, 10, 19, 63, 8, 59, 61, 84, 14, 46], [67, 29, 72, 92, 42, 99, 58, 54, 22, 43]]","[[500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]"
