task_distance,bwt,forget,full_accs,acc,complex_1epoch,complex_25epoch,complex_50epoch,leep,leep_buffer,logme,logme_buffer,logme_model,logme_simple_model_1epoch,logme_simple_model_50epoch,leep_1stacc,bwt_leep,sequence_label,sequence_sample,sequence_unique
"[618.8701643906534, 420.2006761592347, 456.7654423539061, 658.5122741912492, 602.6044303544913]",0.23333333333333428,0.4749999999999955,"[[98.43333333333332, 23.799999999999997, 0.0, 0.0, 0.0], [98.56666666666666, 96.16666666666667, 34.13333333333333, 0.0, 0.0], [98.16666666666667, 97.23333333333333, 97.7, 39.7, 0.0], [98.5, 97.1, 98.23333333333333, 97.56666666666666, 39.93333333333333], [98.33333333333333, 97.13333333333334, 97.73333333333333, 97.6, 96.46666666666667]]",0.9745333333333334,"[12.733333333333334, 19.299999999999997, 17.13333333333334, 15.666666666666657, 20.86666666666666]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5799004151097927, -0.5962473110133588, -0.6314753397028682, -0.6722750169266508]","[-0.7562767395146067, -0.9263286837739656, -1.078771630794233, -1.2227675464896914]","[-0.01671938298514314, 0.15318171185563728, 0.16606367338777805, 0.13388994564068796]","[0.3428079763503394, 0.577013039523377, 0.7182768521300807, 0.9678125831859324]","[[0.8266429826569546, -0.020453601336074118, -0.15859979174791208, -0.09835758225595613, -0.10866827320535932], [0.974611513550388, 0.9943034334485409, 0.16284614810477183, -0.02098506574655011, -0.021973265217389015], [0.8767374031435123, 0.8987126823642465, 1.0962986888173853, 0.16616106613808196, 0.03210001288479027], [0.8574344332220676, 0.809431694542, 1.0393179124240033, 1.077413484557703, 0.1398242798792246], [0.9681931506228666, 0.723551713862753, 0.7962671277982055, 0.9247060438157941, 1.085317412814122]]","[[-0.10762534357157884, -0.33174625307406375, -0.346535319687145, -0.3393811208812311, -0.37523352328369297], [-0.29021831571769074, -0.20268179103320438, -0.3285207791407721, -0.32435049458039633, -0.39111336834202], [-0.31027712580019523, -0.30445626428557665, -0.09943359169660511, -0.32852876842302997, -0.3658256535078939], [-0.27616855723878103, -0.3487888651137414, -0.33810888403767997, -0.1215611247804312, -0.342812434788537], [-0.2880157573005985, -0.3553093531711635, -0.3197535533159437, -0.29756970514151354, -0.24279019766236623]]","[0, 0, 0, 0, 0]",-0.6043078540215009,0,"[[8, 4, 1], [1, 3, 6], [6, 7, 0], [0, 9, 5], [5, 2, 8]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[551.218630975578, 646.4155588357244, 654.5880021797493, 464.16013246262446, 466.04219519579783]",0.8166666666666664,0.16666666666666785,"[[97.3, 14.899999999999999, 0.0, 0.0, 0.0], [97.56666666666666, 89.13333333333333, 3.0, 0.0, 0.0], [97.73333333333333, 91.46666666666667, 97.1, 34.1, 0.0], [97.89999999999999, 91.8, 97.26666666666667, 97.5, 6.466666666666667], [98.1, 91.13333333333333, 97.39999999999999, 97.66666666666667, 97.0]]",0.9626,"[13.200000000000003, 30.566666666666663, 24.099999999999994, 13.533333333333331, 22.766666666666666]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.6472943217019942, -0.5504083592266779, -0.5540124123583331, -0.8229445506458023]","[-0.8897721265521202, -0.8904971676589876, -1.0779148790810134, -1.3280766331041673]","[-0.24149261175270073, -0.034834481356196545, 0.15857165180227142, 0.23820178796986755]","[0.3022710566953991, 0.5157047903358029, 0.7418516302539073, 0.9066971278746071]","[[0.7441414697710323, -0.23846062718277983, -0.24326862798597082, -0.19665263741378722, 0.050163885945440856], [0.8312907926738141, 0.6666321365829285, -0.029687503119326664, -0.09302091225417854, 0.09991584883894626], [0.7303290389298422, 0.6039374760327137, 0.8646475816510284, 0.1599746775156237, 0.09360869179065372], [0.7004842650283685, 0.49815996833475307, 0.9340736606623122, 0.9446193754145913, 0.23822694726120033], [0.8132406421641258, 0.44208106324636204, 0.7826980091285857, 0.9151316538216335, 0.9917023503627993]]","[[-0.09726427622664786, -0.40763268393545143, -0.40591007514692823, -0.3639924141194785, -0.2665085026356982], [-0.29581156446007756, -0.3516249952195749, -0.38971854695213093, -0.3854855170603817, -0.3658230985204069], [-0.3184282132034817, -0.40611126557085203, -0.25940099549931617, -0.2819297911120288, -0.36263613684240653], [-0.33408559081424705, -0.47719750152579143, -0.37161105478441225, -0.08204958521667212, -0.39014709089320715], [-0.1845707776933031, -0.42145374551884, -0.39425712144696123, -0.3368575672795355, -0.21459097778678318]]","[0, 0, 0, 0, 0]",-0.6166649109832019,0,"[[1, 8, 3], [3, 5, 9], [9, 4, 7], [7, 6, 0], [0, 2, 1]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[249.32614429376554, 549.7967297493014, 593.2409381684847, 658.5187384905294, 457.1514848251827]",0.9000000000000057,1.3111111111111136,"[[94.1, 30.8, 0.0, 0.0, 0.0], [94.86666666666666, 94.39999999999999, 46.36666666666667, 0.0, 0.0], [93.86666666666666, 97.63333333333334, 96.03333333333333, 39.86666666666667, 0.0], [93.76666666666667, 97.5, 96.43333333333334, 97.03333333333333, 7.766666666666666], [94.03333333333333, 97.56666666666666, 95.73333333333333, 97.83333333333334, 98.0]]",0.9663333333333333,"[33.13333333333334, 11.366666666666674, 22.066666666666663, 16.666666666666657, 16.166666666666657]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.7613727260736469, -0.6217359557782921, -0.6393002006973402, -0.5738342651133882]","[-0.9325064570159284, -0.933322365531933, -1.1653376936652813, -1.1535369906691446]","[-0.1552839332680075, -0.011575333823883363, 0.16293086960616895, 0.35701505120982496]","[0.1884556054982437, 0.5199461633314721, 0.6404902947819012, 0.9536824810287966]","[[0.4557953401092718, -0.15716528667785232, -0.2591080973811372, -0.21522682721571573, 0.05450153902814701], [0.5614168138389549, 0.8162602207074822, -0.008071160209014086, -0.01678918050417645, 0.16175545268614833], [0.41498427377007924, 0.8742027942315621, 0.8709737089942277, 0.16372056689350675, 0.2104497095554254], [0.37425556202343335, 0.8384615423091356, 0.8344743093991717, 0.9800215461689632, 0.36664283546375637], [0.476215350538908, 0.811827258097921, 0.699496206825389, 0.9396537512147086, 1.1313297659952124]]","[[-0.41182991462361124, -0.381125444695428, -0.39722432411699266, -0.3741703638479957, -0.285157821156329], [-0.5663150218519304, -0.09901127866672599, -0.3432254481657942, -0.2847523429459287, -0.34416113112727675], [-0.570094599921264, -0.287809797517978, -0.2449333952313609, -0.28514268734585485, -0.3334805329328609], [-0.5641881335758945, -0.2503342190044959, -0.33965781299232023, -0.14709771141846953, -0.32788062407399504], [-0.48544216500973714, -0.3161943624795779, -0.3568051277904236, -0.32740743441734527, -0.10280471871128143]]","[0, 0, 0, 0, 0]",-0.5900607869156668,0,"[[6, 4, 3], [3, 1, 8], [8, 2, 5], [5, 9, 0], [0, 7, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[299.76415116968565, 464.7492620550329, 475.45838384889066, 608.1208407366648, 641.1087161856703]",0.55833333333333,0.3888888888888905,"[[89.60000000000001, 36.16666666666667, 0.0, 0.0, 0.0], [89.9, 96.73333333333333, 38.0, 0.0, 0.0], [90.0, 98.03333333333333, 95.89999999999999, 55.666666666666664, 0.0], [89.8, 97.76666666666667, 96.66666666666667, 96.7, 60.8], [89.8, 98.03333333333333, 95.93333333333334, 97.39999999999999, 96.83333333333334]]",0.956,"[33.96666666666667, 16.63333333333334, 17.60000000000001, 21.63333333333334, 15.833333333333329]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.49164102173072205, -0.8135188126248046, -0.5204924599146326, -0.6165242288486033]","[-0.6765703958966418, -1.0553982634093235, -1.0232468868209528, -1.1971826869519535]","[-0.004987673277245225, -0.15352308127466593, 0.04617381699639098, 0.17459242211949152]","[0.18930322045793702, 0.4532046710148486, 0.7257052079881327, 0.9148310570697146]","[[0.3525861158829229, 0.0008057130766926981, -0.298443525092816, -0.32417234004101175, -0.24120476182756737], [0.5194580882091743, 0.9577273610312211, -0.1539735681068188, -0.22477625469422033, -0.12120074489272363], [0.34081394666524956, 0.9137126262962832, 0.8880307990992019, 0.04349151606828224, -0.00854616843487089], [0.2734898195700642, 0.8076559168291347, 0.8433094369410719, 1.0122393816031694, 0.183438122268576], [0.2670475815427961, 0.7389195955600255, 0.7250450573889223, 1.0327617702416252, 1.0023245037293411]]","[[-0.4483359257331792, -0.30339315977309617, -0.45663079658564426, -0.4649333664760062, -0.4205579956292019], [-0.5241244364814867, -0.11259154804954126, -0.4063332141067784, -0.38638240106482064, -0.3618130687505308], [-0.5762895640406447, -0.3422620192595866, -0.2117907038752045, -0.33493222817063745, -0.279673904242457], [-0.5838204727161128, -0.3642460774057084, -0.3330299153659325, -0.21813362065996508, -0.30544445157690864], [-0.5751653352707484, -0.35194806749305346, -0.3081996862954382, -0.3391597584545531, -0.13054193884837295]]","[0, 0, 0, 0, 0]",-0.5065441307796907,0,"[[3, 5, 6], [6, 7, 0], [0, 2, 1], [1, 4, 9], [9, 8, 3]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[612.5683245826513, 520.6754426184925, 630.2824457744136, 375.37119165528566, 532.6622178789694]",0.4833333333333414,0.46944444444444855,"[[94.86666666666666, 49.833333333333336, 0.0, 0.0, 0.0], [96.93333333333334, 94.39999999999999, 6.433333333333334, 0.0, 0.0], [96.7, 94.83333333333334, 97.53333333333333, 23.766666666666666, 0.0], [96.5, 94.83333333333334, 97.56666666666666, 95.6, 61.266666666666666], [96.56666666666666, 94.6, 97.33333333333334, 95.83333333333334, 97.46666666666667]]",0.9636000000000001,"[18.33333333333333, 25.633333333333326, 17.900000000000006, 21.366666666666674, 22.200000000000003]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.7626238566449575, -0.5346617736820121, -0.7230501895824637, -0.8306709432003673]","[-0.9003127418908609, -0.8532467517726312, -1.1572488303159625, -1.367064026212347]","[-0.18049483910134312, -0.01458876570069828, -0.09724032404434914, 0.11962887375130778]","[0.28479247597585206, 0.5080722864161012, 0.7340333918600551, 0.917562526022339]","[[0.6171566234929604, -0.17947069362702459, -0.24025757589391258, -0.330745028841244, -0.022881417978845808], [0.7203751484657763, 0.7733014671048878, -0.018175698017918313, -0.2597767309400314, 0.06021417146937005], [0.6228990777426456, 0.6656897347573362, 0.861924603434029, -0.0979259282995777, 0.08016718523946324], [0.559437277661018, 0.5292307801434805, 0.8986469625006821, 0.8741469957466625, 0.11240495711115561], [0.6530176257243472, 0.5106824982138026, 0.777500308147709, 0.7558772507043964, 1.104654947207248]]","[[-0.18517982877061012, -0.3780645435841348, -0.37492304526296544, -0.5151166099792527, -0.3496825560392882], [-0.33994082758523964, -0.27854065255266497, -0.31542167602649873, -0.5044989900930211, -0.37961626703410484], [-0.37817599352366077, -0.35117028594140787, -0.21629094867124757, -0.4730071924847037, -0.3728082586373154], [-0.4035632166152972, -0.4209003367410437, -0.36317901454712187, -0.26668758310058727, -0.38644622070985674], [-0.3411674864635563, -0.41546072269555484, -0.3879668540261591, -0.511473440590375, -0.20221228949701867]]","[0, 0, 0, 0, 0]",-0.6614183574441166,0,"[[9, 0, 3], [3, 2, 8], [8, 4, 7], [7, 5, 6], [6, 1, 9]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[592.3765823896974, 584.4272642601281, 487.6114344110247, 532.2608555612387, 403.86792786000296]",0.09166666666666501,0.6722222222222219,"[[96.39999999999999, 40.300000000000004, 0.0, 0.0, 0.0], [96.76666666666667, 91.10000000000001, 33.46666666666667, 0.0, 0.0], [96.86666666666667, 92.26666666666667, 96.0, 9.1, 0.0], [96.7, 91.96666666666667, 96.76666666666667, 97.86666666666667, 12.666666666666668], [96.89999999999999, 91.3, 95.83333333333334, 97.7, 95.26666666666667]]",0.954,"[21.733333333333334, 29.10000000000001, 20.13333333333334, 19.933333333333337, 33.16666666666667]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5581801168912266, -0.6718158766408691, -0.4856365429538235, -0.7902310082837842]","[-0.7556596821360476, -1.041822995143438, -0.9950706767246564, -1.3110341497728373]","[-0.17388096652806675, -0.04513397802032839, 0.07710340977576326, -0.10025372278637883]","[0.19511938007413362, 0.4476281480059223, 0.6771105090218409, 0.8638350088399728]","[[0.5986009310760182, -0.17189297356280217, -0.21339636155827446, -0.27414621904133707, -0.310355476340233], [0.6894832131583329, 0.6885402931498458, -0.039284183418628334, -0.19205859218716811, -0.2804997757171553], [0.6202895154751232, 0.6572170968391772, 0.9570845001669301, 0.07614959977224907, -0.2382990331332219], [0.5816381160537536, 0.5411172429248571, 1.0352445353668978, 1.0089423685199097, -0.09444850670604121], [0.6651365414369592, 0.4196121381523532, 0.7742883909550128, 0.9257774735565635, 1.004230769708398]]","[[-0.20293280069306266, -0.39565276395418403, -0.41416890169110904, -0.44965166872636547, -0.4802483877850377], [-0.341705869775964, -0.31891417926412524, -0.39411407405868654, -0.44514971990736735, -0.48175728785222205], [-0.40022011544319164, -0.4087092871223111, -0.20111356755886023, -0.3315216072225949, -0.4841867134313409], [-0.3783281595891875, -0.4196298225624686, -0.31619414214365693, -0.21912989667734775, -0.4682219240017372], [-0.36629921037298807, -0.4012888303764906, -0.3751978039431152, -0.4003590596222641, -0.396323385812686]]","[0, 0, 0, 0, 0]",-0.5904658861924257,0,"[[0, 6, 8], [8, 3, 5], [5, 1, 7], [7, 9, 2], [2, 4, 0]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[516.1373142814264, 436.2298735922668, 650.4933810422663, 500.55060786241665, 281.5484890610678]",0.5083333333333329,0.5249999999999986,"[[96.39999999999999, 46.800000000000004, 0.0, 0.0, 0.0], [96.73333333333333, 94.3, 59.699999999999996, 0.0, 0.0], [96.73333333333333, 95.6, 91.10000000000001, 3.966666666666667, 0.0], [96.7, 94.73333333333333, 91.3, 97.03333333333333, 24.96666666666667], [96.56666666666666, 94.86666666666666, 91.73333333333333, 97.7, 95.96666666666667]]",0.9536666666666668,"[20.333333333333343, 27.700000000000003, 30.400000000000006, 12.933333333333337, 24.900000000000006]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.7202730038711732, -0.706459361101501, -0.3480202472377953, -0.6936976558270218]","[-0.9149396683103533, -1.0501281584825124, -0.8420323089991777, -1.2459697737603797]","[-0.17523716816840781, -0.22436543461751765, 0.23590947215323868, -0.019600661408225407]","[0.2742782048005294, 0.44003046585397354, 0.7930334924035992, 0.9090879115120373]","[[0.6549443692512285, -0.17558170960695754, -0.3823287794164178, -0.21210968999130717, -0.25926345350620505], [0.7906317850662523, 0.7678392195998102, -0.22563405005810053, -0.08437199805458763, -0.22122689584866642], [0.6313783647779351, 0.6393510387865254, 0.8271282183589549, 0.2399110412108324, -0.1394535322775905], [0.6063558249909148, 0.5693437507484692, 0.8247025459488199, 1.0811181368750213, -0.01852615508604726], [0.6642275205082376, 0.49091365675298676, 0.5980842031879365, 1.0470854132739156, 0.9957956919362796]]","[[-0.24007902313903315, -0.3945215525722685, -0.4922785652095807, -0.3666223622148485, -0.5075991040317948], [-0.38443971199093885, -0.3002813058833016, -0.46534619571923796, -0.3142924600097204, -0.5250734872161552], [-0.43374356094557315, -0.4102437479657632, -0.3369685602918005, -0.26313133170653585, -0.5287294541064789], [-0.4520077024912143, -0.42044000613308574, -0.3975351565673453, -0.10045239923475964, -0.451351103417287], [-0.4084036165355595, -0.43506765124721886, -0.5188617722194954, -0.3129518924943146, -0.30370874764686123]]","[0, 0, 0, 0, 0]",-0.5811125670093729,0,"[[7, 8, 0], [0, 4, 3], [3, 9, 5], [5, 1, 6], [6, 2, 7]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[255.90749197662808, 596.7471611222718, 539.7938836757676, 574.3695010524243, 613.7207806631923]",0.9916666666666671,0.9722222222222227,"[[92.76666666666667, 32.93333333333333, 0.0, 0.0, 0.0], [94.5, 96.39999999999999, 9.133333333333333, 0.0, 0.0], [94.23333333333333, 98.3, 96.73333333333333, 37.06666666666666, 0.0], [93.06666666666666, 97.76666666666667, 97.5, 97.43333333333334, 47.16666666666667], [94.1, 98.13333333333333, 97.33333333333334, 97.73333333333333, 98.26666666666667]]",0.9711333333333333,"[29.46666666666667, 16.299999999999997, 26.66666666666667, 15.400000000000006, 17.900000000000006]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.6819677720934342, -0.537463646315419, -0.6305174656576352, -0.5734929747255278]","[-0.8712510214165465, -0.9206531219698476, -1.081107526187887, -1.1246992676084318]","[-0.09294746553116312, 0.0317829517452563, 0.03944750222438735, 0.4658703244050458]","[0.15317114611524338, 0.48943218318699, 0.6814265930996641, 0.982530138539443]","[[0.39570696728822446, -0.09274070424625132, -0.2618405298586371, -0.264744740304532, 0.03090108480806003], [0.5698259157168981, 0.8927826252675491, 0.035213425214111214, -0.1351839831976849, 0.1763479978208382], [0.4379954534821781, 0.9052479855076024, 0.912630625957039, 0.04066202132162887, 0.2812890114861221], [0.3867422435313855, 0.8450322763062457, 0.9606276874347217, 0.9172906975591492, 0.4745463843397664], [0.5227363669378993, 0.7879191468277638, 0.883408674546594, 0.896393119863171, 1.171869891447721]]","[[-0.3995164556630581, -0.3808923984169536, -0.47216099167394043, -0.40226014745955724, -0.2357420867566883], [-0.5729918306561638, -0.16576819122114664, -0.3903626182091819, -0.33045601953832876, -0.32202735522912357], [-0.5538923151272247, -0.2681232826310899, -0.2640993172381403, -0.3378422904997491, -0.30365837894236414], [-0.5895526829777992, -0.2974239331158208, -0.41811708403855324, -0.14904978439626396, -0.2922294770473723], [-0.518647037007414, -0.3520939185393752, -0.4562441335455139, -0.34198496437554526, -0.15129642349519698]]","[0, 0, 0, 0, 0]",-0.5335271313646707,0,"[[6, 3, 4], [4, 0, 1], [1, 7, 9], [9, 2, 8], [8, 5, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[253.72393391095102, 614.5698490813375, 410.8555451829452, 650.8168854198884, 451.9187494395301]",0.7916666666666643,0.7833333333333468,"[[93.89999999999999, 43.733333333333334, 0.0, 0.0, 0.0], [95.33333333333334, 95.1, 36.03333333333333, 0.0, 0.0], [94.76666666666667, 96.3, 91.23333333333333, 35.233333333333334, 0.0], [94.63333333333334, 96.1, 91.7, 96.03333333333333, 34.300000000000004], [94.86666666666666, 96.6, 91.36666666666666, 96.6, 99.2]]",0.9572666666666666,"[38.53333333333333, 21.299999999999997, 30.63333333333334, 17.900000000000006, 13.733333333333334]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.7353249342901118, -0.6691052640797129, -0.6432001572618317, -0.6501143756611306]","[-0.8684488002296116, -0.9481059596910344, -1.1190462681159545, -1.1911288313044572]","[-0.11660705723636826, -0.23281497413056992, 0.007876426513788013, 0.4551024928267302]","[0.20719959625504927, 0.41571584144051604, 0.6721613024108527, 0.9754683670177541]","[[0.45830965062382284, -0.11454949513832091, -0.35130268272969395, -0.2739004819703738, 0.012095402912508789], [0.6922882328861474, 0.8463313721125737, -0.2331828998721617, -0.11279617888815463, 0.17804680119858132], [0.4646985013706992, 0.7706597463433295, 0.7449386615473429, 0.01047997742293653, 0.2167602490767797], [0.4054921970641224, 0.7227387163482043, 0.6575745597074799, 0.9264415072674592, 0.4510826709488998], [0.5175477852361433, 0.6716331529045437, 0.5520705096320052, 0.9285194877301285, 1.1109772927440167]]","[[-0.4555143950645324, -0.42870451996989395, -0.50004916699966, -0.484012078184297, -0.34105571339256197], [-0.5813282549861425, -0.23181860963591952, -0.4145642311371151, -0.37532436138403186, -0.33180069171792637], [-0.5944378874055224, -0.35584673568914255, -0.36279242440075293, -0.3705588138428068, -0.356734166646665], [-0.5941063839174539, -0.3703156202058165, -0.43190995396331733, -0.1764015577614221, -0.285901448454758], [-0.5343747964079452, -0.35764783598188815, -0.43874585211791617, -0.33943097469781786, -0.06906788257280205]]","[0, 0, 0, 0, 0]",-0.6134361828231967,0,"[[6, 2, 4], [4, 8, 3], [3, 0, 5], [5, 9, 1], [1, 7, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[609.050141867483, 391.29259137867484, 247.23434294195613, 424.5780434142798, 679.25040353043]",0.00833333333333286,0.5805555555555569,"[[98.46666666666667, 41.8, 0.0, 0.0, 0.0], [98.46666666666667, 96.1, 29.2, 0.0, 0.0], [98.5, 96.93333333333334, 91.96666666666667, 39.43333333333333, 0.0], [98.3, 96.76666666666667, 92.83333333333333, 95.39999999999999, 41.0], [98.63333333333333, 96.26666666666667, 92.26666666666667, 94.8, 98.13333333333333]]",0.9601999999999999,"[15.5, 19.5, 38.4, 30.433333333333337, 14.833333333333329]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5335633028132127, -0.9241856991301322, -0.726037478569914, -0.4087152444336206]","[-0.6785122559644452, -1.1575474732937192, -1.176835644847729, -1.01204470589382]","[-0.032648264823538886, -0.38500799749351905, -0.02264101359783886, 0.383472864238996]","[0.2984764081575129, 0.4091193693056296, 0.703067345161594, 0.9109063881195544]","[[0.7293723399436892, -0.03125185907249542, -0.4746702879518823, -0.3242521087151397, -0.0063551500745473765], [0.9943413460367688, 0.9397796854999165, -0.3821634829212466, -0.2782910879010164, 0.12069854376128851], [0.7952259088684689, 0.8642398050805941, 0.7297450463683983, -0.030511412236024743, 0.20956441471337617], [0.7399452408049219, 0.7577039284925414, 0.6826124952660151, 0.8400469111374571, 0.384246237618876], [0.911658716340965, 0.7367882548368053, 0.5175525846336784, 0.7764422308799763, 1.1253271519720813]]","[[-0.06917192142880615, -0.32224984926754535, -0.5764739466568822, -0.42035898032399893, -0.31168795656594456], [-0.21380302448549138, -0.18953087414577574, -0.5704499375926643, -0.44116840032507, -0.3437355406767843], [-0.3171417700449246, -0.40547462923958616, -0.4989895865684028, -0.42088481569659164, -0.38099727527986543], [-0.2719092636189007, -0.38216921709208673, -0.5674978636510914, -0.3099863439318071, -0.31067455018005946], [-0.2349616321554644, -0.38750889028592633, -0.5847692541820079, -0.3970422891000531, -0.12773962705881015]]","[0, 0, 0, 0, 0]",-0.6327920979033866,0,"[[6, 8, 7], [7, 1, 3], [3, 4, 2], [2, 0, 5], [5, 9, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
